essence1,essence2,essence3,confluence,restricted
Gun,Hand,Vehicle,Action,FALSE
Adept,Venom,Water,Alchemy,FALSE
Iron,Thread,Trap,Ambush,FALSE
Rune,Spider,Trap,Ambush,FALSE
Earth,Spike,Trap,Ambush,FALSE
Fire,Spider,Trap,Ambush,FALSE
Dance,Knowledge,Mirror,Animate,FALSE
Fungus,Growth,Zeal,Animate,TRUE
Dance,Dust,Echo,Animate,FALSE
Bone,Death,Magic,Animate,TRUE
Cloth,Dance,Magic,Animate,FALSE
Bird,Cat,Vast,Anzu,FALSE
Myriad,Shield,Sword,Arsenal,FALSE
Corrupt,Dimension,Magic,Avatar,FALSE
Dark,Tentacle,Void,Avatar,FALSE
Hammer,Lightning,Might,Avatar,FALSE
Blood,Life,Sun,Avatar,FALSE
Dimension,Might,Renewal,Avatar,FALSE
Lightning,Might,Sword,Avatar,FALSE
Rune,Spear,Tree,Avatar,FALSE
Potent,Vast,Water,Avatar,FALSE
Corrupt,Magic,Void,Avatar,FALSE
Corrupt,Dimension,Potent,Avatar,FALSE
Dimension,Tentacle,Void,Avatar,FALSE
Elemental,Harmonic,Potent,Avatar,FALSE
Dimension,Light,Wing,Avatar,FALSE
Eye,Fire,Magic,Avatar,FALSE
Elemental,Might,Resolute,Avatar,FALSE
Corrupt,Dimension,Might,Avatar,FALSE
Magic,Might,Potent,Avatar,FALSE
Blood,Bone,Flesh,Avatar,FALSE
Iron,Spike,Vast,Battlefield,FALSE
Cattle,Earth,Vast,Behemoth,FALSE
Balance,Earth,Shield,Boundary,FALSE
Dance,Feast,Knife,Bounty,FALSE
Hunger,Vast,Void,Cataclysm,FALSE
Dimension,Myriad,Sin,Cataclysm,FALSE
Fire,Potent,Water,Cataclysm,FALSE
Death,Myriad,Void,Cataclysm,FALSE
Balance,Magic,Potent,Chaotic,FALSE
Adept,Magic,Trap,Charlatan,FALSE
Cat,Tentacle,Void,Chimera,FALSE
Snake,Spider,Venom,Chimera,FALSE
Earth,Pangolin,Shark,Chimera,FALSE
Lizard,Spider,Wolf,Chimera,FALSE
Death,Iron,Life,Cyborg,TRUE
